id,class,valid,name,n,ms,sorted_ms,product,log2_product,L,kappa_mov,kappa_tot,H_pos_sum,H_pos_avg,H_mover,H_joint,coverage,L_over_n,L_over_n2,kappa_mov_over_L,kappa_mov_over_nL,Hpos_over_log2prod,Hpos_over_nlog23
32,sub,False,,8,"[2,2,2,2,2,2,2,4]","[2,2,2,2,2,2,2,4]",512,9.0,16,16,48,8.0,1.0,3.0,5.061278,0.03125,2.0,0.25,1.0,0.125,0.8889,0.6309
33,sub,False,,8,"[2,2,2,2,2,2,2,5]","[2,2,2,2,2,2,2,5]",640,9.321928094887362,16,16,48,8.0,1.0,3.0,5.061278,0.025,2.0,0.25,1.0,0.125,0.8582,0.6309
34,sub,False,,8,"[2,2,2,2,2,2,2,6]","[2,2,2,2,2,2,2,6]",768,9.584962500721156,16,16,48,8.0,1.0,3.0,5.061278,0.020833,2.0,0.25,1.0,0.125,0.8346,0.6309
35,sub,False,,8,"[2,2,2,2,2,2,2,7]","[2,2,2,2,2,2,2,7]",896,9.807354922057604,16,16,48,8.0,1.0,3.0,5.061278,0.017857,2.0,0.25,1.0,0.125,0.8157,0.6309
36,sub,False,,8,"[2,2,2,2,2,2,2,8]","[2,2,2,2,2,2,2,8]",1024,10.0,16,16,48,8.0,1.0,3.0,5.061278,0.015625,2.0,0.25,1.0,0.125,0.8,0.6309
37,sub,False,,8,"[2,2,2,2,2,2,2,9]","[2,2,2,2,2,2,2,9]",1152,10.169925001442312,16,16,48,8.0,1.0,3.0,5.061278,0.013889,2.0,0.25,1.0,0.125,0.7866,0.6309
38,sub,False,,8,"[2,2,2,2,2,2,2,10]","[2,2,2,2,2,2,2,10]",1280,10.321928094887362,16,16,48,8.0,1.0,3.0,5.061278,0.0125,2.0,0.25,1.0,0.125,0.775,0.6309
39,sub,False,,8,"[2,2,2,2,2,2,2,11]","[2,2,2,2,2,2,2,11]",1408,10.459431618637296,16,16,48,8.0,1.0,3.0,5.061278,0.011364,2.0,0.25,1.0,0.125,0.7649,0.6309
40,sub,False,,8,"[2,2,2,2,2,2,2,12]","[2,2,2,2,2,2,2,12]",1536,10.584962500721156,16,16,48,8.0,1.0,3.0,5.061278,0.010417,2.0,0.25,1.0,0.125,0.7558,0.6309
41,sub,False,,8,"[2,2,2,2,2,2,2,13]","[2,2,2,2,2,2,2,13]",1664,10.700439718141093,16,16,48,8.0,1.0,3.0,5.061278,0.009615,2.0,0.25,1.0,0.125,0.7476,0.6309
42,sub,False,,8,"[2,2,2,2,2,2,2,14]","[2,2,2,2,2,2,2,14]",1792,10.807354922057604,16,16,48,8.0,1.0,3.0,5.061278,0.008929,2.0,0.25,1.0,0.125,0.7402,0.6309
43,sub,False,,8,"[2,2,2,2,2,2,2,15]","[2,2,2,2,2,2,2,15]",1920,10.906890595608518,16,16,48,8.0,1.0,3.0,5.061278,0.008333,2.0,0.25,1.0,0.125,0.7335,0.6309
44,sub,False,,8,"[2,2,2,2,2,2,2,16]","[2,2,2,2,2,2,2,16]",2048,11.0,16,16,48,8.0,1.0,3.0,5.061278,0.007812,2.0,0.25,1.0,0.125,0.7273,0.6309
45,sub,False,,8,"[2,2,2,2,2,2,2,17]","[2,2,2,2,2,2,2,17]",2176,11.087462841250339,16,16,48,8.0,1.0,3.0,5.061278,0.007353,2.0,0.25,1.0,0.125,0.7215,0.6309
46,sub,False,,8,"[2,2,2,2,2,2,2,18]","[2,2,2,2,2,2,2,18]",2304,11.169925001442312,16,16,48,8.0,1.0,3.0,5.061278,0.006944,2.0,0.25,1.0,0.125,0.7162,0.6309
47,sub,False,,8,"[2,2,2,2,2,2,2,19]","[2,2,2,2,2,2,2,19]",2432,11.247927513443585,16,16,48,8.0,1.0,3.0,5.061278,0.006579,2.0,0.25,1.0,0.125,0.7112,0.6309
48,sub,False,,8,"[2,2,2,2,2,2,2,20]","[2,2,2,2,2,2,2,20]",2560,11.321928094887362,16,16,48,8.0,1.0,3.0,5.061278,0.00625,2.0,0.25,1.0,0.125,0.7066,0.6309
49,sub,False,,8,"[2,2,2,2,2,3,2,3]","[2,2,2,2,2,2,3,3]",576,9.169925001442312,20,20,58,8.243856,1.030482,2.921928,5.244668,0.034722,2.5,0.3125,1.0,0.125,0.899,0.6502
50,sub,False,,8,"[2,2,2,2,3,2,2,4]","[2,2,2,2,2,2,3,4]",768,9.584962500721156,20,20,58,8.243856,1.030482,2.921928,5.244668,0.026042,2.5,0.3125,1.0,0.125,0.8601,0.6502
51,sub,False,,8,"[2,2,2,3,2,2,2,5]","[2,2,2,2,2,2,3,5]",960,9.906890595608518,20,20,58,8.243856,1.030482,2.921928,5.244668,0.020833,2.5,0.3125,1.0,0.125,0.8321,0.6502
52,sub,False,,8,"[2,2,2,2,2,3,2,6]","[2,2,2,2,2,2,3,6]",1152,10.169925001442312,20,20,58,8.243856,1.030482,2.921928,5.244668,0.017361,2.5,0.3125,1.0,0.125,0.8106,0.6502
